,iterations,learning_rate,depth,l2_leaf_reg,0
0,97.0,0.16893933663256044,10.0,3.0,0.9627659574468085
1,78.0,0.18325383498949266,4.0,21.0,0.9680851063829787
2,90.0,0.46891663890743174,6.0,20.0,0.9574468085106383
3,10.0,0.6078649066958984,2.0,6.0,0.9521276595744681
4,88.0,0.4968129447369678,6.0,22.0,0.9893617021276596
5,9.0,0.23362662185571748,3.0,5.0,0.9308510638297872
6,12.0,0.02634215797589956,6.0,9.0,0.9308510638297872
7,44.0,0.6068742849680475,14.0,2.0,0.9627659574468085
8,87.0,0.5858593646967017,6.0,22.0,0.9574468085106383
9,68.0,0.4310426992401607,15.0,23.0,0.9414893617021277
10,12.0,0.35685916066670076,6.0,9.0,0.9521276595744681
11,75.0,0.8660381890028561,12.0,28.0,0.9521276595744681
12,8.0,0.601053515188409,3.0,6.0,0.9680851063829787
13,39.0,0.2569759032734703,16.0,18.0,0.9414893617021277
14,92.0,0.32484255977072174,3.0,6.0,0.9787234042553191
15,88.0,0.2489756571157441,4.0,23.0,0.9521276595744681
16,40.0,0.202079765819564,16.0,17.0,0.9521276595744681
17,8.0,0.38091079334598565,3.0,5.0,0.935531914893617
18,8.0,0.9966848605858661,2.0,6.0,0.9521276595744681
19,19.0,0.07216134157810217,6.0,13.0,0.935531914893617
20,57.0,0.8241505942122863,16.0,16.0,0.9468085106382979
21,26.0,0.191015264745669,15.0,7.0,0.9561702127659575
22,66.0,0.28667830550351003,16.0,8.0,0.9680851063829787
23,56.0,0.4754461451337235,1.0,14.0,0.9574468085106383
24,88.0,0.9871880025848633,4.0,23.0,0.9521276595744681
25,18.0,0.5911997868034414,6.0,13.0,0.9521276595744681
26,94.0,0.9250995943909853,4.0,5.0,0.973404255319149
27,80.0,0.6471928154686668,5.0,21.0,0.9787234042553191
28,74.0,0.45471899964968576,13.0,27.0,0.9627659574468085
29,57.0,0.5652678337722994,16.0,16.0,0.9627659574468085
30,78.0,0.5474675195970948,7.0,9.0,0.9680851063829787
31,58.0,0.06641026044720544,10.0,19.0,0.973404255319149
32,25.0,0.2785986252646927,5.0,29.0,0.9627659574468085
33,93.0,0.26540769364272265,4.0,7.0,0.9627659574468085
34,80.0,0.8597545952245657,5.0,22.0,0.9627659574468085
35,53.0,5.386459757228401e-05,6.0,26.0,0.9668085106382979
36,53.0,0.49688195759940124,1.0,24.0,0.9680851063829787
37,4.0,0.873358908859028,14.0,6.0,0.9721276595744681
38,89.0,0.6356582149165065,7.0,28.0,0.9674468085106383
39,96.0,0.17570087439028192,8.0,18.0,0.9661702127659575
40,9.0,0.5624753548298523,2.0,7.0,0.9668085106382979
41,90.0,0.6469788378219326,7.0,21.0,0.9840425531914894
42,63.0,0.1083950533882494,9.0,26.0,0.9808510638297872
43,91.0,0.08602071314679016,6.0,21.0,0.9840425531914894
44,21.0,0.318269723953453,6.0,23.0,0.9727659574468085
45,77.0,0.6304436002287814,13.0,30.0,0.9827659574468085
46,79.0,0.11833658668231195,7.0,9.0,0.9721276595744681
47,56.0,0.14871933363195156,16.0,16.0,0.9827659574468085
48,75.0,0.3601533526635977,12.0,29.0,0.9868085106382979
49,76.0,0.5082524876228354,12.0,29.0,0.9902127659574468
