iter	Passed	Remaining
0	13	6875
1	20	5046
2	26	4454
3	33	4199
4	45	4482
5	57	4744
6	64	4520
7	71	4373
8	77	4250
9	90	4431
10	102	4565
11	109	4444
12	116	4352
13	122	4267
14	129	4202
15	140	4237
16	152	4334
17	159	4259
18	165	4201
19	172	4142
20	180	4112
21	194	4215
22	205	4266
23	222	4411
24	239	4543
25	246	4502
26	254	4457
27	261	4403
28	268	4361
29	275	4309
30	282	4269
31	289	4231
32	296	4196
33	303	4162
34	311	4133
35	318	4106
36	326	4085
37	333	4054
38	341	4033
39	354	4080
40	368	4123
41	383	4182
42	393	4177
43	400	4154
44	408	4130
45	416	4109
46	424	4087
47	431	4063
48	438	4038
49	447	4025
50	455	4007
51	463	3993
52	482	4067
53	498	4121
54	518	4197
55	534	4235
56	543	4223
57	551	4200
58	559	4185
59	567	4162
60	575	4138
61	587	4148
62	607	4213
63	633	4313
64	650	4351
65	670	4405
66	692	4477
67	701	4454
68	715	4470
69	723	4444
70	730	4416
71	738	4388
72	745	4359
73	754	4344
74	767	4348
75	774	4321
76	781	4293
77	788	4267
78	796	4242
79	810	4253
80	818	4232
81	824	4205
82	832	4180
83	839	4159
84	857	4184
85	866	4172
86	874	4151
87	881	4128
88	889	4105
89	896	4083
90	905	4067
91	914	4057
92	926	4053
93	933	4032
94	942	4020
95	968	4074
96	990	4113
97	997	4093
98	1006	4076
99	1017	4069
100	1027	4057
101	1034	4035
102	1041	4015
103	1050	3998
104	1064	4004
105	1071	3984
106	1079	3963
107	1086	3944
108	1094	3926
109	1108	3929
110	1117	3915
111	1124	3895
112	1131	3874
113	1138	3856
114	1146	3839
115	1162	3849
116	1170	3830
117	1177	3811
118	1184	3792
119	1191	3774
120	1200	3759
121	1215	3765
122	1223	3749
123	1231	3733
124	1238	3715
125	1246	3699
126	1258	3696
127	1266	3681
128	1276	3672
129	1283	3654
130	1291	3637
131	1299	3623
132	1314	3626
133	1321	3609
134	1329	3594
135	1337	3578
136	1350	3577
137	1359	3567
138	1376	3574
139	1385	3563
140	1391	3543
141	1404	3542
142	1414	3532
143	1421	3513
144	1428	3497
145	1437	3484
146	1443	3466
147	1450	3450
148	1463	3447
149	1472	3436
150	1479	3419
151	1485	3402
152	1492	3384
153	1502	3375
154	1516	3374
155	1522	3358
156	1529	3341
157	1536	3325
158	1542	3309
159	1554	3303
160	1562	3290
161	1573	3283
162	1580	3268
163	1587	3252
164	1594	3237
165	1608	3235
166	1618	3226
167	1625	3212
168	1631	3196
169	1638	3180
170	1645	3165
171	1658	3162
172	1667	3152
173	1675	3138
174	1682	3124
175	1689	3109
176	1699	3101
177	1711	3095
178	1718	3081
179	1724	3066
180	1731	3051
181	1738	3037
182	1746	3024
183	1762	3026
184	1769	3012
185	1776	2998
186	1783	2984
187	1789	2970
188	1801	2964
189	1813	2959
190	1821	2946
191	1828	2932
192	1835	2919
193	1842	2905
194	1856	2903
195	1872	2904
196	1879	2891
197	1886	2877
198	1893	2863
199	1905	2858
200	1915	2849
201	1922	2836
202	1929	2822
203	1936	2809
204	1943	2797
205	1957	2793
206	1967	2784
207	1973	2770
208	1980	2757
209	1986	2743
210	1993	2730
211	2007	2726
212	2017	2718
213	2024	2705
214	2030	2691
215	2037	2679
216	2051	2675
217	2061	2666
218	2068	2653
219	2075	2641
220	2081	2627
221	2088	2614
222	2095	2602
223	2107	2597
224	2117	2588
225	2124	2575
226	2130	2562
227	2137	2550
228	2148	2542
229	2156	2531
230	2167	2524
231	2174	2512
232	2181	2499
233	2188	2487
234	2200	2481
235	2207	2469
236	2218	2461
237	2225	2449
