2023-05-08 17:09:17,896 — __main__ — INFO — DataMaker is ready
r was created
2023-05-08 17:09:18,138 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=0, timestamp=1683554041930, timestamp_type=0, key=None, value={'count_lines': 0}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=18, serialized_header_size=-1)
2023-05-08 17:09:18,139 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=1, timestamp=1683554041931, timestamp_type=0, key=None, value={'count_lines': 1}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=18, serialized_header_size=-1)
2023-05-08 17:09:18,139 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=2, timestamp=1683554041931, timestamp_type=0, key=None, value={'count_lines': 2}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=18, serialized_header_size=-1)
2023-05-08 17:09:18,139 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=3, timestamp=1683554041931, timestamp_type=0, key=None, value={'count_lines': 3}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=18, serialized_header_size=-1)
2023-05-08 17:09:18,139 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=4, timestamp=1683554041931, timestamp_type=0, key=None, value={'count_lines': 4}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=18, serialized_header_size=-1)
2023-05-08 17:09:18,139 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=5, timestamp=1683554041931, timestamp_type=0, key=None, value={'count_lines': 5}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=18, serialized_header_size=-1)
2023-05-08 17:09:18,139 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=6, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 6}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=18, serialized_header_size=-1)
2023-05-08 17:09:18,139 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=7, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 7}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=18, serialized_header_size=-1)
2023-05-08 17:09:18,139 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=8, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 8}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=18, serialized_header_size=-1)
2023-05-08 17:09:18,139 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=9, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 9}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=18, serialized_header_size=-1)
2023-05-08 17:09:18,139 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=10, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 10}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,139 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=11, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 11}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,140 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=12, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 12}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,140 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=13, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 13}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,140 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=14, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 14}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,140 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=15, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 15}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,140 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=16, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 16}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,140 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=17, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 17}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,140 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=18, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 18}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,140 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=19, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 19}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,140 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=20, timestamp=1683554041932, timestamp_type=0, key=None, value={'count_lines': 20}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,140 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=21, timestamp=1683554041933, timestamp_type=0, key=None, value={'count_lines': 21}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
2023-05-08 17:09:18,140 — kafka_consumer — INFO — Kafka get message = ConsumerRecord(topic='data', partition=0, offset=22, timestamp=1683554041933, timestamp_type=0, key=None, value={'count_lines': 22}, headers=[], checksum=None, serialized_key_size=-1, serialized_value_size=19, serialized_header_size=-1)
